Ion	Align	Lambda	ID	Cusp	CIns	BG	BGIns	WillSP	WilldSP	ModelB	ModelH	ModelQ	ModelR	ModelS
Ar_3	auto	5192	Ar3	Nan	Nan	Nan	Nan	Nan	Nan	0.138405	0.162163	0.162163	0.0894764	0.0972511
Ar_3	auto	7135	Ar3	13.1	1.38	12.1	1.5	16.549	1.3641	26.7987	24.3572	16.55	13.7858	14.8374
Ar_4	auto	4711	Ar4	Nan	Nan	Nan	Nan	Nan	Nan	0.009042	0.010408	0.010408	0.0059893	0.0062789
Ar_4	auto	4740	Ar4	Nan	Nan	Nan	Nan	Nan	Nan	0.015009	0.0166623	0.0166623	0.0095394	0.0100513
C__2	auto	4267	C2	0.122	0.048	0.275	0.027	0.15636	0.033473	0.149849	0.170245	0.170245	0.168497	0.168835
C__3	auto	1907	C3	Nan	Nan	Nan	Nan	Nan	Nan	5.89194	15.0206	15.0206	13.9917	14.2362
C__3	auto	1910	C3	Nan	Nan	Nan	Nan	Nan	Nan	8.01603	20.0031	20.0031	18.5117	18.9558
Cl_3	auto	5518	Cl3	0.171	0.039	0.400	0.083	0.14151	0.046494	0.303865	0.140855	0.140855	0.137183	0.137607
Cl_3	auto	5538	Cl3	0.266	0.038	0.480	0.085	0.28476	0.067482	0.764414	0.352365	0.352365	0.342049	0.344104
Fe_3	auto	4608	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.051529	0.0218655	0.0218655	0.0652276	0.0427093
Fe_3	auto	4659	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.652761	0.276478	0.276478	0.824792	0.539636
Fe_3	auto	4702	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.300551	0.127532	0.127532	0.380458	0.249106
Fe_3	auto	4734	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.146123	0.0620599	0.0620599	0.185134	0.121292
Fe_3	auto	4755	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.119371	0.0505606	0.0505606	0.15083	0.0986867
Fe_3	auto	4881	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.338102	0.141006	0.141006	0.420592	0.275087
Fe_3	auto	4988	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.058052	0.0242116	0.0242116	0.0722165	0.0472332
Fe_3	auto	5271	Fe3	0.297	0.039	0.330	0.037	0.34503	0.06083	0.406797	0.168224	0.34	0.503169	0.328892
H__1	auto	4861	H1	100.0	34.4	100.0	14.8	100.	0.0	100	100	100	100	100
H__1	auto	6563	H1	235.6	2.2	2.76.5	7.9	281.26	41.538	286.79	285.718	285.718	285.547	285.574
He_1	auto	4471	He1	Nan	Nan	Nan	Nan	Nan	Nan	4.56497	4.52171	4.52171	4.49288	4.49764
He_1	auto	5876	He1	10.3	2.1	13.9	0.32	12.272	2.0231	14.0138	13.9894	13.9894	13.8843	13.9053
He_1	auto	6678	He1	Nan	Nan	Nan	Nan	Nan	Nan	3.79959	3.74224	3.74224	3.72001	3.72345
N__2	auto	5755	N2	2.32	1.16	0.470	0.049	2.9987	0.15105	3.01084	2.4881	2.4881	4.22312	3.35055
N__2	auto	6584	N2	72.1	6.2	31.7	1.4	87.342	12.799	81.9906	57.3202	57.3202	98.3745	77.1296
